D_CLIENTE,ESTADO,D_EMPRESA_TRANSPORTISTA,TIPOTRANSPORTE,PESO_NETO,CAP_MAXIMA,CIUDAD,PLANTAORIGEN_Pesqueria,TIPO_SERVICIO_LO,TIPO_PERMISO_Despacho,TIPO_PERMISO_Cliente ENVIA,TIPO_PERMISO_Traslado Externo,TIPO_PERMISO_Traslado Externo sin Pesada
204,14,TRANSPORTE57,8,29520,54.0,3,1,1,0,0,1,0
145,14,TRANSPORTE53,6,29860,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE53,6,38080,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE59,7,40350,54.0,61,1,1,0,0,1,0
204,14,TRANSPORTE52,11,26940,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE57,6,22580,54.0,42,1,1,0,0,1,0
204,14,TRANSPORTE54,5,23660,54.0,3,1,1,0,0,1,0
137,14,TRANSPORTE68,7,32880,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE53,6,19400,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE19,5,36360,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE54,5,31270,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE22,5,23530,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE52,6,32670,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE54,5,20390,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE53,6,38620,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE53,6,23470,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE68,5,23460,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE22,5,23490,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE63,6,20120,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE53,6,22620,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE63,6,19970,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE66,6,26250,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE63,6,29590,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,37930,54.0,49,1,1,0,0,1,0
145,14,TRANSPORTE63,6,30760,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE52,11,23730,54.0,42,1,1,0,0,1,0
157,14,TRANSPORTE54,6,31360,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE54,5,26700,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,36740,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE54,6,19370,54.0,61,1,1,0,0,1,0
145,14,TRANSPORTE63,6,23780,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE68,7,36490,54.0,42,1,1,0,0,1,0
137,14,TRANSPORTE52,6,21250,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,33140,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,32110,54.0,49,1,1,0,0,1,0
28,14,TRANSPORTE68,5,34560,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,35980,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE53,6,35700,54.0,49,1,1,0,0,1,0
145,14,TRANSPORTE66,6,36750,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,35960,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE53,6,32920,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,33240,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE57,8,33110,54.0,61,1,1,0,0,1,0
107,8,TRANSPORTE8,5,28180,54.0,35,1,0,0,1,0,0
204,14,TRANSPORTE68,5,37530,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE70,7,34380,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE52,11,36510,51.0,42,1,1,0,0,1,0
227,14,TRANSPORTE52,11,38480,54.0,42,1,1,0,0,1,0
204,14,TRANSPORTE70,5,30280,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,25990,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,29390,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,34810,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,33670,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,37080,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE38,5,27100,54.0,3,1,1,0,0,1,0
158,14,TRANSPORTE38,5,39180,54.0,61,1,1,0,0,1,0
204,14,TRANSPORTE68,5,29520,54.0,3,1,1,0,0,1,0
28,14,TRANSPORTE70,5,25710,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,39620,54.0,49,1,1,0,0,1,0
145,14,TRANSPORTE66,6,19780,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,28550,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE54,5,30600,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE53,6,37580,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE70,5,37970,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,39460,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE53,6,39210,54.0,49,1,1,0,0,1,0
204,14,TRANSPORTE70,3,29400,46.5,3,1,1,0,0,1,0
137,14,TRANSPORTE63,6,33780,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,32570,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE68,5,33550,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE63,6,35830,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE53,6,31520,54.0,49,1,1,0,0,1,0
157,14,TRANSPORTE53,6,36090,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE53,6,32610,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE53,6,36040,54.0,49,1,1,0,0,1,0
0,18,TRANSPORTE8,5,32060,54.0,60,1,0,1,0,0,0
227,14,TRANSPORTE53,6,20530,54.0,42,1,1,0,0,1,0
236,18,TRANSPORTE8,5,31070,54.0,60,1,0,0,0,1,0
159,14,TRANSPORTE53,6,30190,54.0,55,1,1,0,1,0,0
157,14,TRANSPORTE53,6,26730,54.0,49,1,1,0,0,1,0
204,14,TRANSPORTE22,5,35740,54.0,3,1,1,0,0,1,0
28,14,TRANSPORTE52,11,29180,54.0,61,1,1,0,0,1,0
260,14,TRANSPORTE68,5,26810,54.0,61,1,1,0,1,0,0
204,14,TRANSPORTE59,7,39450,54.0,3,1,1,0,0,1,0
204,14,TRANSPORTE42,5,34180,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE53,6,32980,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,34890,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE66,6,22590,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE54,5,22570,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE68,7,30300,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE66,6,21690,54.0,42,1,1,0,0,1,0
157,14,TRANSPORTE61,6,29400,54.0,49,1,1,0,0,1,0
227,14,TRANSPORTE54,5,20810,54.0,42,1,1,0,0,1,0
157,14,TRANSPORTE53,6,26070,54.0,49,1,1,0,0,1,0
268,14,TRANSPORTE53,6,25430,54.0,3,1,1,0,1,0,0
268,14,TRANSPORTE53,6,35260,54.0,3,1,1,0,1,0,0
151,14,TRANSPORTE70,5,23320,54.0,3,1,1,0,0,1,0
157,14,TRANSPORTE53,6,37980,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE22,5,35750,54.0,61,1,1,0,0,1,0
227,14,TRANSPORTE66,6,36800,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE38,7,39280,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE38,7,32810,54.0,61,1,1,0,0,1,0
56,5,TRANSPORTE74,7,31730,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE82,7,38910,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE82,5,31760,54.0,41,1,0,0,0,1,0
227,14,TRANSPORTE59,5,36780,54.0,42,1,1,0,0,1,0
56,5,TRANSPORTE77,5,38190,54.0,41,1,0,0,0,1,0
56,5,TRANSPORTE83,5,28920,54.0,41,1,0,0,0,1,0
227,14,TRANSPORTE53,6,32760,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE38,5,21500,54.0,3,1,1,0,0,1,0
151,14,TRANSPORTE38,5,20820,54.0,3,1,1,0,0,1,0
160,9,TRANSPORTE8,5,28880,54.0,60,1,0,1,0,0,0
227,14,TRANSPORTE53,6,22030,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE52,6,21930,54.0,42,1,1,0,0,1,0
28,14,TRANSPORTE70,4,31690,48.0,61,1,1,0,0,1,0
157,14,TRANSPORTE68,5,38910,54.0,49,1,1,0,0,1,0
227,14,TRANSPORTE53,6,20190,54.0,42,1,1,0,0,1,0
157,14,TRANSPORTE68,5,38780,54.0,49,1,1,0,0,1,0
137,14,TRANSPORTE19,5,26040,54.0,61,1,1,0,0,1,0
28,14,TRANSPORTE19,5,36010,54.0,61,1,1,0,0,1,0
137,14,TRANSPORTE53,6,37380,54.0,61,1,1,0,0,1,0
157,14,TRANSPORTE54,5,24560,54.0,49,1,1,0,0,1,0
227,14,TRANSPORTE66,6,22040,54.0,42,1,1,0,0,1,0
196,17,TRANSPORTE9,3,20260,46.5,51,1,0,0,1,0,0
227,14,TRANSPORTE53,6,20640,54.0,42,1,1,0,0,1,0
151,14,TRANSPORTE38,5,30620,54.0,3,1,1,0,0,1,0
227,14,TRANSPORTE54,5,20780,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE63,6,20600,54.0,42,1,1,0,0,1,0
84,14,TRANSPORTE61,6,37740,54.0,23,1,1,0,1,0,0
227,14,TRANSPORTE38,5,22820,54.0,42,1,1,0,0,1,0
150,14,TRANSPORTE53,6,27350,54.0,49,1,1,0,1,0,0
227,14,TRANSPORTE54,5,21880,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE43,5,28480,54.0,42,1,1,0,0,1,0
227,14,TRANSPORTE53,6,32750,54.0,42,1,1,0,0,1,0
